MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2,Method,Year(4 digit),Year(2 digit),Month,Day of the Year,Day of the Month,Day of the Week,Time Hour,Time Minute,Time Seconds
\IRFORE,2020-02-25 00:00:00,0,10,79377620,56,15,164.06,612.48,LIN_CNT2,2020,20,2,56,25,2,0,0,0
\IRFORE,2020-02-26 00:00:00,0,10,84842874,47,16,208.93,613.74,LIN_CNT2,2020,20,2,57,26,3,0,0,0
\IRFORE,2020-02-27 00:00:00,0,10,94995956,49,17,224.39,646.76,LIN_CNT2,2020,20,2,58,27,4,0,0,0
\IRFORE,2020-02-28 00:00:00,0,10,104647707,56,21,216.29,576.76,LIN_CNT2,2020,20,2,59,28,5,0,0,0
\IRFORE,2020-02-29 00:00:00,0,10,120850648,46,15,304.07,932.49,LIN_CNT2,2020,20,2,60,29,6,0,0,0
\IRFORE,2020-03-01 00:00:00,0,10,87031762,47,16,214.32,629.57,LIN_CNT2,2020,20,3,61,1,7,0,0,0
\IRFORE,2020-03-02 00:00:00,0,10,110937194,53,19,242.26,675.79,LIN_CNT2,2020,20,3,62,2,1,0,0,0
\IRFORE,2020-03-03 00:00:00,0,10,98916923,57,19,200.85,602.56,LIN_CNT2,2020,20,3,63,3,2,0,0,0
\IRFORE,2020-03-04 00:00:00,0,10,102490120,60,18,197.70,659.02,LIN_CNT2,2020,20,3,64,4,3,0,0,0
\IRFORE,2020-03-05 00:00:00,0,10,100706636,59,20,197.56,582.79,LIN_CNT2,2020,20,3,65,5,4,0,0,0
\IRFORE,2020-03-06 00:00:00,0,10,106982983,63,22,196.54,562.83,LIN_CNT2,2020,20,3,66,6,5,0,0,0
\IRFORE,2020-03-07 00:00:00,0,10,117413998,64,22,212.34,617.71,LIN_CNT2,2020,20,3,67,7,6,0,0,0
\IRFORE,2020-03-08 00:00:00,0,10,82618078,48,17,199.21,562.49,LIN_CNT2,2020,20,3,68,8,7,0,0,0
\IRFORE,2020-03-09 00:00:00,0,10,103608538,49,19,244.73,631.14,LIN_CNT2,2020,20,3,68,9,1,0,0,0
\IRFORE,2020-03-10 00:00:00,0,10,91298627,52,18,203.21,587.05,LIN_CNT2,2020,20,3,69,10,2,0,0,0
\IRFORE,2020-03-11 00:00:00,0,10,92363348,55,18,194.37,593.90,LIN_CNT2,2020,20,3,70,11,3,0,0,0
\IRFORE,2020-03-12 00:00:00,0,10,94614974,59,19,185.61,576.36,LIN_CNT2,2020,20,3,71,12,4,0,0,0
\IRFORE,2020-03-13 00:00:00,0,10,105066572,59,22,206.11,552.75,LIN_CNT2,2020,20,3,72,13,5,0,0,0
\IRFORE,2020-03-14 00:00:00,0,10,116470934,59,20,228.48,674.02,LIN_CNT2,2020,20,3,73,14,6,0,0,0
\IRFORE,2020-03-15 00:00:00,0,10,81034649,46,15,203.89,625.27,LIN_CNT2,2020,20,3,74,15,7,0,0,0
\IRFORE,2020-03-16 00:00:00,0,10,97396267,49,18,230.06,626.26,LIN_CNT2,2020,20,3,75,16,1,0,0,0
\IRFORE,2020-03-17 00:00:00,0,10,87604652,57,18,177.88,563.30,LIN_CNT2,2020,20,3,76,17,2,0,0,0
\IRFORE,2020-03-18 00:00:00,0,10,81874427,51,16,185.81,592.26,LIN_CNT2,2020,20,3,77,18,3,0,0,0
\IRFORE,2020-03-19 00:00:00,0,10,79583947,45,15,204.69,614.07,LIN_CNT2,2020,20,3,78,19,4,0,0,0
\IRFORE,2020-03-20 00:00:00,0,10,83311133,50,17,192.85,567.21,LIN_CNT2,2020,20,3,79,20,5,0,0,0
\IRFORE,2020-03-21 00:00:00,0,10,87082558,67,14,150.43,719.93,LIN_CNT2,2020,20,3,80,21,6,0,0,0
\IRFORE,2020-03-22 00:00:00,0,10,54996304,36,8,176.81,795.66,LIN_CNT2,2020,20,3,81,22,7,0,0,0
\IRFORE,2020-03-23 00:00:00,0,10,70490954,43,13,189.74,627.59,LIN_CNT2,2020,20,3,82,23,1,0,0,0
\IRFORE,2020-03-24 00:00:00,0,10,62259338,43,12,167.58,600.50,LIN_CNT2,2020,20,3,83,24,2,0,0,0
\IRFORE,2020-03-25 00:00:00,0,10,62681282,45,12,161.22,604.56,LIN_CNT2,2020,20,3,84,25,3,0,0,0
\IRFORE,2020-03-26 00:00:00,0,10,64647134,42,13,178.15,575.56,LIN_CNT2,2020,20,3,85,26,4,0,0,0
\IRFORE,2020-03-27 00:00:00,0,10,67966029,44,14,178.78,561.89,LIN_CNT2,2020,20,3,86,27,5,0,0,0
\IRFORE,2020-03-28 00:00:00,0,10,73773296,46,13,185.62,656.81,LIN_CNT2,2020,20,3,87,28,6,0,0,0
\IRFORE,2020-03-29 00:00:00,0,10,50669547,41,11,143.04,533.14,LIN_CNT2,2020,20,3,88,29,7,0,0,0
\IRFORE,2020-03-30 00:00:00,0,10,68202662,42,12,187.95,657.82,LIN_CNT2,2020,20,3,89,30,1,0,0,0
\IRFORE,2020-03-31 00:00:00,0,10,64505750,37,10,201.78,746.59,LIN_CNT2,2020,20,3,90,31,2,0,0,0
\IRFORE,2020-04-01 00:00:00,0,10,70847917,46,15,178.26,546.67,LIN_CNT2,2020,20,4,91,1,3,0,0,0
\IRFORE,2020-04-02 00:00:00,0,10,77051723,44,14,202.68,637.00,LIN_CNT2,2020,20,4,92,2,4,0,0,0
\IRFORE,2020-04-03 00:00:00,0,10,78420526,48,16,189.09,567.28,LIN_CNT2,2020,20,4,93,3,5,0,0,0
\IRFORE,2020-04-04 00:00:00,0,10,85431402,48,14,206.00,706.28,LIN_CNT2,2020,20,4,94,4,6,0,0,0
\IRFORE,2020-04-05 00:00:00,0,10,55226648,41,11,155.90,581.09,LIN_CNT2,2020,20,4,95,5,7,0,0,0
\IRFORE,2020-04-06 00:00:00,0,10,75441066,42,13,207.90,671.66,LIN_CNT2,2020,20,4,96,6,1,0,0,0
\IRFORE,2020-04-07 00:00:00,0,10,70277409,45,13,180.75,625.69,LIN_CNT2,2020,20,4,97,7,2,0,0,0
\IRFORE,2020-04-08 00:00:00,0,10,72392859,50,14,167.58,598.49,LIN_CNT2,2020,20,4,98,8,3,0,0,0
\IRFORE,2020-04-09 00:00:00,0,10,75041314,48,15,180.94,579.02,LIN_CNT2,2020,20,4,99,9,4,0,0,0
\IRFORE,2020-04-10 00:00:00,0,10,67251283,48,14,162.16,555.98,LIN_CNT2,2020,20,4,100,10,5,0,0,0
\IRFORE,2020-04-11 00:00:00,0,10,78514211,45,14,201.94,649.09,LIN_CNT2,2020,20,4,101,11,6,0,0,0
\IRFORE,2020-04-12 00:00:00,0,10,54874565,38,10,167.14,635.12,LIN_CNT2,2020,20,4,102,12,7,0,0,0
\IRFORE,2020-04-13 00:00:00,0,10,64679188,42,12,178.24,623.83,LIN_CNT2,2020,20,4,103,13,1,0,0,0
\IRFORE,2020-04-14 00:00:00,0,10,66788235,45,14,171.78,552.15,LIN_CNT2,2020,20,4,104,14,2,0,0,0
\IRFORE,2020-04-15 00:00:00,0,10,73543783,46,15,185.04,567.47,LIN_CNT2,2020,20,4,105,15,3,0,0,0
\IRFORE,2020-04-16 00:00:00,0,10,78929656,44,15,207.62,609.03,LIN_CNT2,2020,20,4,106,16,4,0,0,0
\IRFORE,2020-04-17 00:00:00,0,10,79920200,47,16,196.81,578.13,LIN_CNT2,2020,20,4,107,17,5,0,0,0
\IRFORE,2020-04-18 00:00:00,0,10,83010983,47,15,204.42,640.52,LIN_CNT2,2020,20,4,108,18,6,0,0,0
\IRFORE,2020-04-19 00:00:00,0,10,56601904,41,12,159.78,545.93,LIN_CNT2,2020,20,4,109,19,7,0,0,0
\IRFORE,2020-04-20 00:00:00,0,10,78825457,45,14,202.74,651.67,LIN_CNT2,2020,20,4,110,20,1,0,0,0
\IRFORE,2020-04-21 00:00:00,0,10,69923104,46,14,175.93,578.07,LIN_CNT2,2020,20,4,111,21,2,0,0,0
\IRFORE,2020-04-22 00:00:00,0,10,74088079,47,14,182.45,612.50,LIN_CNT2,2020,20,4,112,22,3,0,0,0
\IRFORE,2020-04-23 00:00:00,0,10,74176875,44,14,195.12,613.23,LIN_CNT2,2020,20,4,113,23,4,0,0,0
\IRFORE,2020-04-24 00:00:00,0,10,77232933,45,16,198.64,558.69,LIN_CNT2,2020,20,4,114,24,5,0,0,0
\IRFORE,2020-04-25 00:00:00,0,10,82721217,47,14,203.71,683.87,LIN_CNT2,2020,20,4,115,25,6,0,0,0
\IRFORE,2020-04-26 00:00:00,0,10,57369362,41,12,161.95,553.33,LIN_CNT2,2020,20,4,116,26,7,0,0,0
\IRFORE,2020-04-27 00:00:00,0,10,78029635,43,14,210.03,645.09,LIN_CNT2,2020,20,4,117,27,1,0,0,0
\IRFORE,2020-04-28 00:00:00,0,10,72806953,46,15,183.19,561.78,LIN_CNT2,2020,20,4,118,28,2,0,0,0
\IRFORE,2020-04-29 00:00:00,0,10,76421916,47,15,188.19,589.68,LIN_CNT2,2020,20,4,119,29,3,0,0,0
\IRFORE,2020-04-30 00:00:00,0,10,84211031,48,17,203.06,573.33,LIN_CNT2,2020,20,4,120,30,4,0,0,0
\IRFORE,2020-05-01 00:00:00,0,10,87006486,55,20,183.09,503.51,LIN_CNT2,2020,20,5,121,1,5,0,0,0
\IRFORE,2020-05-02 00:00:00,0,10,100259524,49,17,236.82,682.59,LIN_CNT2,2020,20,5,122,2,6,0,0,0
\IRFORE,2020-05-03 00:00:00,0,10,65094535,42,13,179.38,579.55,LIN_CNT2,2020,20,5,123,3,7,0,0,0
\IRFORE,2020-05-04 00:00:00,0,10,92537301,46,17,232.83,630.02,LIN_CNT2,2020,20,5,124,4,1,0,0,0
\IRFORE,2020-05-05 00:00:00,0,10,82966566,34,4,282.43,2400.65,LIN_CNT2,2020,20,5,125,5,2,0,0,0
\IRFORE,2020-05-06 00:00:00,0,10,84376738,47,16,207.78,610.36,LIN_CNT2,2020,20,5,126,6,3,0,0,0
\IRFORE,2020-05-07 00:00:00,0,10,84894351,48,17,204.70,577.98,LIN_CNT2,2020,20,5,127,7,4,0,0,0
\IRFORE,2020-05-08 00:00:00,0,10,89917701,49,18,212.39,578.17,LIN_CNT2,2020,20,5,128,8,5,0,0,0
\IRFORE,2020-05-09 00:00:00,0,10,96789192,51,18,219.66,622.36,LIN_CNT2,2020,20,5,129,9,6,0,0,0
\IRFORE,2020-05-10 00:00:00,0,10,69468210,46,14,174.79,574.31,LIN_CNT2,2020,20,5,130,10,7,0,0,0
\IRFORE,2020-05-11 00:00:00,0,10,87765309,44,16,230.86,634.88,LIN_CNT2,2020,20,5,131,11,1,0,0,0
\IRFORE,2020-05-12 00:00:00,0,10,76951778,46,15,193.62,593.76,LIN_CNT2,2020,20,5,132,12,2,0,0,0
\IRFORE,2020-05-13 00:00:00,0,10,80326330,47,16,197.81,581.06,LIN_CNT2,2020,20,5,133,13,3,0,0,0
\IRFORE,2020-05-14 00:00:00,0,10,83778457,49,16,197.89,606.04,LIN_CNT2,2020,20,5,134,14,4,0,0,0
\IRFORE,2020-05-15 00:00:00,0,10,89077584,49,19,210.41,542.63,LIN_CNT2,2020,20,5,135,15,5,0,0,0
\IRFORE,2020-05-16 00:00:00,0,10,96734020,54,18,207.33,622.00,LIN_CNT2,2020,20,5,136,16,6,0,0,0
\IRFORE,2020-05-17 00:00:00,0,10,66024494,43,14,177.71,545.84,LIN_CNT2,2020,20,5,137,17,7,0,0,0
\IRFORE,2020-05-18 00:00:00,0,10,88525255,44,16,232.86,640.37,LIN_CNT2,2020,20,5,138,18,1,0,0,0
\IRFORE,2020-05-19 00:00:00,0,10,79578918,51,16,180.60,575.66,LIN_CNT2,2020,20,5,139,19,2,0,0,0
\IRFORE,2020-05-20 00:00:00,0,10,82313042,47,16,202.70,595.44,LIN_CNT2,2020,20,5,140,20,3,0,0,0
\IRFORE,2020-05-21 00:00:00,0,10,84020612,46,17,211.40,572.04,LIN_CNT2,2020,20,5,141,21,4,0,0,0
\IRFORE,2020-05-22 00:00:00,0,10,91086731,49,19,215.15,554.87,LIN_CNT2,2020,20,5,142,22,5,0,0,0
\IRFORE,2020-05-23 00:00:00,0,10,97185686,52,18,216.31,624.91,LIN_CNT2,2020,20,5,143,23,6,0,0,0
\IRFORE,2020-05-24 00:00:00,0,10,65826277,39,13,195.35,586.06,LIN_CNT2,2020,20,5,144,24,7,0,0,0
\IRFORE,2020-05-25 00:00:00,0,10,89033529,43,15,239.65,686.99,LIN_CNT2,2020,20,5,145,25,1,0,0,0
\IRFORE,2020-05-26 00:00:00,0,10,75748529,47,15,186.54,584.48,LIN_CNT2,2020,20,5,146,26,2,0,0,0
\IRFORE,2020-05-27 00:00:00,0,10,80795306,46,15,203.29,623.42,LIN_CNT2,2020,20,5,147,27,3,0,0,0
\IRFORE,2020-05-28 00:00:00,0,16,85994196,49,11,126.95,565.51,LIN_CNT2,2020,20,5,148,28,4,0,0,0
