2021-201-03 21:00:12 | 152 samples examined | Samples examined from 2017-10-1 00:00:00 to 2020-12-23 00:00:00 | 20 forecasts made |  Linear Regression: -0.0003179057210317651 * (x) + 9.746328675488358e-11 
2021-03-05 12:34:55 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-05 12:34:56 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:35:10 | 124 samples examined | Samples examined from 2017-10-1 to 2017-10-12 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:35:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 

2021-03-05 12:35:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-05 12:35:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:41:17 | 124 samples examined | Samples examined from 2017-10-1 to 2017-10-12 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:41:17 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 

2021-03-05 12:41:18 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-05 12:41:18 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:41:43 | 124 samples examined | Samples examined from 2017-10-1 to 2017-10-12 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 12:41:43 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 

2021-03-05 12:41:43 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-05 12:41:43 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 13:43:10 | 124 samples examined | Samples examined from 2017-10-1 to 2017-10-12 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-05 13:43:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 

2021-03-05 13:43:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-05 13:43:10 | 124 samples examined | Samples examined from 2020-12-14 to 2020-12-17 | 22 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 10:47:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 10:47:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 10:47:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:25:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:25:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:25:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:26:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:26:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:26:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:26:55 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:26:55 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:26:55 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:29:11 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:29:11 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:29:11 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:29:41 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:29:41 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

